,1,2,3,4,5,6,7
1,NA,NA,NA,NA,NA,NA,NA
2,0,1,2,1,1,NA,NA
3,1,1,0,1,0,NA,NA
4,31,29,37,42,45,54,NA
5,NA,NA,NA,NA,NA,NA,NA
6,3,0,3,0,1,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,0,1,0,0,0,NA,NA
9,14,22,16,20,16,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,0,0,0,1,1,NA,NA
12,0,0,0,0,1,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,0,0,0,0,0,NA,NA
16,2,5,1,NA,NA,NA,NA
17,16,4,14,NA,NA,NA,NA
18,19,1,7,17,16,NA,NA
19,26,71,14,46,14,NA,NA
20,3,2,0,0,NA,NA,NA
21,0,0,0,NA,NA,NA,NA
22,0,3,0,3,0,NA,NA
23,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA
26,0,0,0,NA,NA,NA,NA
27,5,9,3,14,0,NA,NA
28,NA,NA,NA,NA,NA,NA,NA
29,16,15,17,21,13,NA,NA
30,8,11,5,9,8,NA,NA
31,56,62,55,64,98,NA,NA
32,0,0,0,NA,NA,NA,NA
33,9,11,6,10,6,NA,NA
34,3,0,3,2,6,NA,NA
35,0,0,0,NA,NA,NA,NA
36,0,2,3,5,1,NA,NA
37,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA
39,0,0,0,0,0,NA,NA
40,7,8,8,16,18,NA,NA
41,0,0,0,0,0,NA,NA
42,2,3,2,5,3,NA,NA
43,20,21,16,21,22,NA,NA
44,0,0,0,NA,NA,NA,NA
45,0,0,0,0,1,NA,NA
46,68,51,98,64,92,NA,NA
47,7,14,21,10,16,NA,NA
48,38,50,51,49,46,NA,NA
49,0,0,0,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA
51,6,2,3,0,3,NA,NA
52,0,0,0,0,0,NA,NA
53,0,0,0,0,0,NA,NA
54,0,0,0,NA,NA,NA,NA
55,0,0,0,NA,NA,NA,NA
56,0,0,0,0,0,NA,NA
57,0,0,0,NA,NA,NA,NA
58,134,117,138,111,99,139,145
59,NA,NA,NA,NA,NA,NA,NA
60,10,1,8,0,10,0,NA
61,1,0,2,1,0,NA,NA
62,0,0,0,0,0,NA,NA
63,NA,NA,NA,NA,NA,NA,NA
64,0,0,0,NA,NA,NA,NA
65,0,0,NA,NA,NA,NA,NA
66,0,0,0,NA,NA,NA,NA
67,0,0,0,3,2,NA,NA
68,0,0,0,0,0,NA,NA
69,0,0,0,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA
71,0,0,0,0,0,NA,NA
72,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA
74,0,0,0,NA,NA,NA,NA
75,0,0,0,NA,NA,NA,NA
76,0,0,0,NA,NA,NA,NA
77,0,1,0,NA,NA,NA,NA
78,0,0,0,NA,NA,NA,NA
79,0,0,0,NA,NA,NA,NA
80,0,0,0,NA,NA,NA,NA
81,0,0,0,NA,NA,NA,NA
82,0,0,0,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA
84,0,0,0,NA,NA,NA,NA
85,0,0,0,NA,NA,NA,NA
86,0,0,0,NA,NA,NA,NA
87,0,0,0,NA,NA,NA,NA
88,0,0,NA,NA,NA,NA,NA